amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
100.00 ,000361866,C,8750964  ,Closed,  ,100.00 ,8/12/2014,9/2/2014,10/22/2014 ,100.00,N,104(a),56.18010,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-18010.pdf,Krueger Brothers Gravel & Dirt
100.00 ,000260865,C,6426438  ,Closed,  ,100.00 ,6/7/2011,6/8/2011,8/18/2011 ,100.00,N,104(a),56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-4101.pdf,Krueger Brothers Gravel & Dirt
100.00 ,000260865,C,6426439  ,Closed,  ,100.00 ,6/7/2011,6/8/2011,8/18/2011 ,100.00,N,104(a),56.4201(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-4201.pdf,Krueger Brothers Gravel & Dirt
100.00 ,000260865,C,6588189  ,Closed,  ,100.00 ,6/2/2011,6/2/2011,8/18/2011 ,100.00,N,104(a),56.14200,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-14200.pdf,Krueger Brothers Gravel & Dirt
100.00 ,000238554,C,6588210  ,Closed,  ,100.00 ,10/6/2010,10/6/2010,12/26/2010 ,100.00,N,104(a),50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec50-30.pdf,Krueger Brothers Gravel & Dirt
100.00 ,000188398,C,6328074  ,Closed,  ,100.00 ,5/8/2009,5/8/2009,7/23/2009 ,100.00,N,104(a),56.11003,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-11003.pdf,Krueger Brothers Gravel & Dirt
55.00 ,390143205501,C,7916118  ,Closed,  ,55.00 ,10/27/1998,10/27/1998,1/26/1999 ,55.00,N,104(a),56.12028,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-12028.pdf,Krueger Brothers Gravel & Dirt
55.00 ,390143205501,C,7916126  ,Closed,  ,55.00 ,10/27/1998,10/27/1998,1/26/1999 ,55.00,N,104(a),56.14100(d),http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-14100.pdf,Krueger Brothers Gravel & Dirt
55.00 ,390143205501,C,7916123  ,Closed,  ,55.00 ,10/27/1998,10/27/1998,1/26/1999 ,55.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-14132.pdf,Krueger Brothers Gravel & Dirt
55.00 ,390143205501,C,7916121  ,Closed,  ,55.00 ,10/27/1998,10/27/1998,1/26/1999 ,55.00,N,104(a),56.18002,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-18002.pdf,Krueger Brothers Gravel & Dirt
