second,pitch,note,scale
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.0,0,0.0
5,0.0,0,0.0
6,0.0,0,0.0
7,0.0,0,0.0
8,0.0,0,0.0
9,178.4482454,F3,6.0
10,120.10098533333333,B2,12.0
11,87.2616546,F2,6.0
12,230.1012268,A#3,11.0
13,590.8950755,D5,3.0
14,290.68902280000003,D4,3.0
15,237.525767,A#3,11.0
16,100.75490119999999,G2,8.0
17,175.51023879999997,F3,6.0
18,192.73313900000002,G3,8.0
19,165.5229858,E3,5.0
20,325.72755416666666,E4,5.0
21,263.07318100000003,C4,1.0
22,286.6132202,D4,3.0
23,48.870793666666664,G1,8.0
24,67.3983918,C#2,2.0
25,88.6809388,F2,6.0
26,0.0,0,0.0
27,72.9590882,D2,3.0
28,114.73922233333333,A#2,11.0
29,228.80866099999997,A#3,11.0
30,46.1601776,F#1,7.0
31,100.58502200000002,G2,8.0
32,312.21642460000004,D#4,4.0
33,244.66189816666665,B3,12.0
34,90.9274262,F#2,7.0
35,44.319775400000005,F1,6.0
36,33.66384883333333,C#1,2.0
37,118.61737659999999,A#2,11.0
38,174.7386352,F3,6.0
39,220.56825766666665,A3,10.0
40,202.6734742,G#3,9.0
41,249.14322433333336,B3,12.0
42,140.3475248,C#3,2.0
43,125.802942,B2,12.0
44,24.129959166666666,G0,8.0
45,215.7232758,A3,10.0
46,314.68360416666667,D#4,4.0
47,301.5496948,D4,3.0
48,0.0,0,0.0
49,109.06561283333333,A2,10.0
50,321.733356,E4,5.0
51,183.980768,F#3,7.0
52,296.40558383333337,D4,3.0
53,320.7760312,E4,5.0
54,78.0209325,D#2,4.0
55,119.31167,A#2,11.0
56,326.77842999999996,E4,5.0
57,164.01549266666666,E3,5.0
58,239.77948920000003,A#3,11.0
59,85.8039186,F2,6.0
60,0.0,0,0.0
61,0.0,0,0.0
62,0.0,0,0.0
63,29.9168762,A#0,11.0
64,155.12135619999998,D#3,4.0
65,73.4365615,D2,3.0
66,88.6265686,F2,6.0
67,71.50114183333334,D2,3.0
68,172.87618419999998,F3,6.0
69,222.3790954,A3,10.0
70,254.64731333333336,C4,1.0
71,191.1788788,G3,8.0
72,94.50640560000001,F#2,7.0
73,38.699740166666665,D#1,4.0
74,176.95541980000002,F3,6.0
75,313.5951181666667,D#4,4.0
76,320.8573792,E4,5.0
77,269.0115356,C4,1.0
78,302.4356943333333,D#4,4.0
79,105.7347412,G#2,9.0
80,140.19310516666664,C#3,2.0
81,141.85086059999998,C#3,2.0
82,0.0,0,0.0
83,0.0,0,0.0
84,0.0,0,0.0
85,0.0,0,0.0
86,0.0,0,0.0
87,0.0,0,0.0
88,0.0,0,0.0
89,0.0,0,0.0
90,0.0,0,0.0
91,0.0,0,0.0
92,0.0,0,0.0
93,0.0,0,0.0
94,0.0,0,0.0
95,0.0,0,0.0
96,0.0,0,0.0
97,44.494467199999995,F1,6.0
98,0.0,0,0.0
99,0.0,0,0.0
100,0.0,0,0.0
101,116.1809895,A#2,11.0
102,173.89783640000002,F3,6.0
103,136.4207396,C#3,2.0
104,69.56227883333332,C#2,2.0
105,220.19654260000001,A3,10.0
106,191.17804999999998,G3,8.0
107,250.981073,B3,12.0
108,181.9834626,F#3,7.0
109,121.07119233333333,B2,12.0
110,0.0,0,0.0
111,107.06070559999998,A2,10.0
112,249.78568016666668,B3,12.0
113,329.1049988,E4,5.0
114,106.07863366666668,G#2,9.0
115,370.3992372,F#4,7.0
116,144.3195862,D3,3.0
117,121.46186833333333,B2,12.0
118,150.71647360000003,D3,3.0
119,0.0,0,0.0
120,74.42081966666667,D2,3.0
121,86.4206178,F2,6.0
122,223.3511121666667,A3,10.0
123,154.24140640000002,D#3,4.0
124,118.3671448,A#2,11.0
125,308.302241,D#4,4.0
126,242.72424919999997,B3,12.0
127,151.462087,D#3,4.0
128,179.6038084,F3,6.0
129,48.824524000000004,G1,8.0
130,168.51452000000003,E3,5.0
131,294.82286060000007,D4,3.0
132,255.25129379999998,C4,1.0
133,336.7821605,E4,5.0
134,0.0,0,0.0
135,147.243777,D3,3.0
136,137.4361846,C#3,2.0
137,892.6938843999999,A5,10.0
138,119.27719616666667,A#2,11.0
139,147.8546204,D3,3.0
140,24.132408166666664,G0,8.0
141,157.5724516,D#3,4.0
142,115.125,A#2,11.0
143,48.68615716666667,G1,8.0
144,139.64974980000002,C#3,2.0
145,222.78662719999997,A3,10.0
146,258.6300351666667,C4,1.0
147,169.5221436,E3,5.0
148,282.3386791666667,C#4,2.0
149,174.41922599999998,F3,6.0
150,758.1592774,F#5,7.0
151,97.82507833333334,G2,8.0
152,59.695575,A#1,11.0
153,48.55841816666666,G1,8.0
154,0.0,0,0.0
155,0.0,0,0.0
156,0.0,0,0.0
157,0.0,0,0.0
158,0.0,0,0.0
159,0.0,0,0.0
160,0.0,0,0.0
161,0.0,0,0.0
