second,pitch,note,scale
0,0.0,0,0.0
1,64.6517272,C2,1.0
2,394.91576133333336,G4,8.0
3,81.7379212,E2,5.0
4,0.0,0,0.0
5,43.145757,F1,6.0
6,497.42021479999994,B4,12.0
7,626.7922568333335,D#5,4.0
8,213.301587,G#3,9.0
9,92.6589416,F#2,7.0
10,0.0,0,0.0
11,123.89318840000001,B2,12.0
12,0.0,0,0.0
13,0.0,0,0.0
14,0.0,0,0.0
15,190.35603566666666,F#3,7.0
16,51.467214999999996,G#1,9.0
17,124.39653159999997,B2,12.0
18,86.35456466666666,F2,6.0
19,0.0,0,0.0
20,0.0,0,0.0
21,0.0,0,0.0
22,0.0,0,0.0
23,461.2696738333334,A#4,11.0
24,413.1788818,G#4,9.0
25,391.0224244,G4,8.0
26,272.39303333333334,C#4,2.0
27,177.2166076,F3,6.0
28,309.56306466666666,D#4,4.0
29,156.3595918,D#3,4.0
30,79.8786804,D#2,4.0
31,358.8234253333333,F4,6.0
32,394.17700799999994,G4,8.0
33,199.11345416666666,G3,8.0
34,278.386139,C#4,2.0
35,281.4620606,C#4,2.0
36,230.85102099999997,A#3,11.0
37,113.9333068,A#2,11.0
38,143.8410796,D3,3.0
39,196.5262528333333,G3,8.0
40,99.82483520000001,G2,8.0
41,182.69487766666668,F#3,7.0
42,1000.052002,B5,12.0
43,108.01964720000001,A2,10.0
44,57.96563716666666,A#1,11.0
45,547.2653808,C#5,2.0
46,190.63987733333332,G3,8.0
47,205.6257112,G#3,9.0
48,106.77421260000001,G#2,9.0
49,119.4206315,A#2,11.0
50,106.81724840000001,G#2,9.0
51,263.3671874,C4,1.0
52,291.42430616666667,D4,3.0
53,326.8863158,E4,5.0
54,217.54829916666668,A3,10.0
55,221.29939280000002,A3,10.0
56,207.0577728,G#3,9.0
57,132.51458733333334,C3,1.0
58,0.0,0,0.0
59,0.0,0,0.0
60,0.0,0,0.0
61,0.0,0,0.0
62,0.0,0,0.0
63,91.43998400000001,F#2,7.0
64,0.0,0,0.0
65,201.3331935,G3,8.0
66,0.0,0,0.0
67,174.639674,F3,6.0
68,180.7904418,F#3,7.0
69,185.19377419999998,F#3,7.0
70,151.21411133333334,D#3,4.0
71,0.0,0,0.0
72,0.0,0,0.0
73,172.06982166666668,F3,6.0
74,360.34473879999996,F#4,7.0
75,115.95965316666667,A#2,11.0
76,110.73820799999999,A2,10.0
77,50.866763399999996,G#1,9.0
78,147.873876,D3,3.0
79,0.0,0,0.0
80,212.1614125,G#3,9.0
81,287.94222419999994,D4,3.0
82,231.4920776,A#3,11.0
83,333.9950713333333,E4,5.0
84,1485.8911315999999,F#6,7.0
85,106.5827454,G#2,9.0
86,115.5712585,A#2,11.0
87,52.058700599999995,G#1,9.0
88,250.37236016666665,B3,12.0
89,328.0353212,E4,5.0
90,162.47414559999999,E3,5.0
91,248.48699716666667,B3,12.0
92,137.2494872,C#3,2.0
93,273.9228515,C#4,2.0
94,409.61463620000006,G#4,9.0
95,360.27066959999996,F#4,7.0
96,411.24459333333334,G#4,9.0
97,888.801709,A5,10.0
98,0.0,0,0.0
99,302.353335,D#4,4.0
100,109.266284,A2,10.0
101,115.54549149999998,A#2,11.0
102,130.80337519999998,C3,1.0
103,402.7028748,G4,8.0
104,177.18177033333333,F3,6.0
105,91.484308,F#2,7.0
106,205.91031383333336,G#3,9.0
107,0.0,0,0.0
108,267.57583,C4,1.0
109,729.8771565000001,F#5,7.0
110,162.8263672,E3,5.0
111,70.0712098,C#2,2.0
112,125.96735633333333,B2,12.0
113,0.0,0,0.0
114,251.31063316666666,B3,12.0
115,77.1043152,D#2,4.0
116,213.321173,G#3,9.0
117,220.81788633333335,A3,10.0
118,626.7833678,D#5,4.0
119,522.4956666,C5,1.0
120,624.6948446666667,D#5,4.0
121,248.23675540000005,B3,12.0
122,0.0,0,0.0
123,0.0,0,0.0
124,0.0,0,0.0
125,0.0,0,0.0
126,0.0,0,0.0
127,0.0,0,0.0
128,0.0,0,0.0
129,0.0,0,0.0
130,0.0,0,0.0
131,0.0,0,0.0
132,0.0,0,0.0
133,0.0,0,0.0
134,0.0,0,0.0
135,0.0,0,0.0
136,0.0,0,0.0
137,0.0,0,0.0
138,12.980917666666668,G#-1,9.0
139,82.377305,E2,5.0
140,93.6784465,F#2,7.0
141,126.9531784,B2,12.0
142,82.0302368,E2,5.0
143,154.14703883333334,D#3,4.0
144,319.9569702,D#4,4.0
145,0.0,0,0.0
146,131.38727833333334,C3,1.0
147,177.8105528,F3,6.0
148,378.86622616666665,F#4,7.0
149,180.6198426,F#3,7.0
150,261.11490779999997,C4,1.0
151,407.67909750000007,G#4,9.0
152,357.89847100000003,F4,6.0
153,373.8674978333333,F#4,7.0
154,215.73673079999998,A3,10.0
155,169.8688202,F3,6.0
156,214.66178383333332,A3,10.0
157,0.0,0,0.0
158,107.4442688,A2,10.0
159,828.1289061666666,G#5,9.0
160,199.315329,G3,8.0
161,82.0956065,E2,5.0
162,759.9927186,F#5,7.0
163,159.3702942,D#3,4.0
164,52.89809666666667,G#1,9.0
165,93.3614136,F#2,7.0
166,68.35747283333333,C#2,2.0
167,0.0,0,0.0
168,93.8360594,F#2,7.0
169,647.8999021666666,E5,5.0
170,59.384765599999994,A#1,11.0
171,49.6398498,G1,8.0
172,176.50911699999997,F3,6.0
173,179.00360099999997,F3,6.0
174,50.706787166666665,G#1,9.0
175,68.789679,C#2,2.0
176,294.304901,D4,3.0
177,329.62153616666666,E4,5.0
178,359.25912780000004,F4,6.0
179,411.60178220000006,G#4,9.0
180,414.3673401666667,G#4,9.0
181,290.20331120000003,D4,3.0
182,51.74135066666667,G#1,9.0
183,72.65271,D2,3.0
184,39.6502136,D#1,4.0
185,138.89003766666667,C#3,2.0
186,62.121141,B1,12.0
187,109.34261566666669,A2,10.0
188,244.7731048,B3,12.0
189,181.96816379999999,F#3,7.0
190,307.81579583333337,D#4,4.0
191,409.8267578,G#4,9.0
192,413.553174,G#4,9.0
193,68.35239666666666,C#2,2.0
194,104.0326172,G#2,9.0
195,109.56861366666665,A2,10.0
196,330.65217299999995,E4,5.0
197,218.84773560000002,A3,10.0
198,255.97966250000002,C4,1.0
199,49.6355378,G1,8.0
200,569.4280598333334,C#5,2.0
201,0.0,0,0.0
202,0.0,0,0.0
203,192.53341166666667,G3,8.0
204,416.42962040000003,G#4,9.0
205,385.25756820000004,G4,8.0
206,274.11645,C#4,2.0
207,204.29390600000002,G#3,9.0
208,178.97009766666667,F3,6.0
209,160.4796206,E3,5.0
210,151.901114,D#3,4.0
211,356.1412301666667,F4,6.0
212,580.4665832,D5,3.0
213,694.4798583333333,F5,6.0
214,628.8615358,D#5,4.0
215,720.4863282,F#5,7.0
216,612.7138468333334,D#5,4.0
217,494.5517212,B4,12.0
218,0.0,0,0.0
219,0.0,0,0.0
220,147.8314392,D3,3.0
221,276.6281281666666,C#4,2.0
222,206.34385359999996,G#3,9.0
223,287.7750856,D4,3.0
224,374.3103943333333,F#4,7.0
225,415.1806030000001,G#4,9.0
226,413.9318695,G#4,9.0
227,0.0,0,0.0
228,398.2672486,G4,8.0
229,562.2043863333333,C#5,2.0
230,611.4864868,D#5,4.0
231,618.9992186,D#5,4.0
232,518.0159405,C5,1.0
233,439.0952028,A4,10.0
234,389.08950550000003,G4,8.0
235,163.4367554,E3,5.0
236,209.3562774,G#3,9.0
237,105.52667766666667,G#2,9.0
238,0.0,0,0.0
239,0.0,0,0.0
240,69.96950283333332,C#2,2.0
241,35.2878174,C#1,2.0
242,0.0,0,0.0
243,279.8313842,C#4,2.0
244,291.157953,D4,3.0
245,398.2074915,G4,8.0
246,547.5329710000001,C#5,2.0
247,594.0397236666666,D5,3.0
248,626.6925416,D#5,4.0
249,625.7354612,D#5,4.0
250,361.8788148333333,F#4,7.0
251,409.70001840000003,G#4,9.0
252,270.2135194,C#4,2.0
253,296.80018083333334,D4,3.0
254,155.49426880000001,D#3,4.0
255,116.7380905,A#2,11.0
256,331.992569,E4,5.0
257,197.85560900000002,G3,8.0
258,96.41338350000001,G2,8.0
259,46.8464264,F#1,7.0
260,192.04391999999999,G3,8.0
261,265.70573720000004,C4,1.0
262,209.71212759999997,G#3,9.0
263,387.71786,G4,8.0
264,326.3752566,E4,5.0
265,265.7510804,C4,1.0
266,342.7031048333334,F4,6.0
267,412.38527239999996,G#4,9.0
268,411.3485006666667,G#4,9.0
269,338.174286,E4,5.0
270,559.6220458,C#5,2.0
271,450.6669821666667,A4,10.0
272,419.1657776,G#4,9.0
273,637.0902048333334,D#5,4.0
274,341.20004259999996,F4,6.0
275,301.9714996,D4,3.0
276,169.23236583333332,E3,5.0
277,373.0997682,F#4,7.0
278,226.4076966,A3,10.0
279,122.42472083333332,B2,12.0
280,54.345959400000005,A1,10.0
281,226.51913966666666,A#3,11.0
282,195.142389,G3,8.0
283,338.0086548,E4,5.0
284,412.07935066666664,G#4,9.0
285,414.1138244,G#4,9.0
286,241.21753433333333,B3,12.0
287,311.15355220000004,D#4,4.0
288,268.44343879999997,C4,1.0
289,205.880104,G#3,9.0
290,83.686203,E2,5.0
291,0.0,0,0.0
292,0.0,0,0.0
293,0.0,0,0.0
294,0.0,0,0.0
295,0.0,0,0.0
296,0.0,0,0.0
297,0.0,0,0.0
298,0.0,0,0.0
299,0.0,0,0.0
