second,pitch,note,scale
0,191.56124366666668,G3,8.0
1,373.9854798,F#4,7.0
2,129.20620216666669,C3,1.0
3,0.0,0,0.0
4,46.728128,F#1,7.0
5,361.30049383333335,F#4,7.0
6,424.8884462000001,G#4,9.0
7,139.59929916666667,C#3,2.0
8,0.0,0,0.0
9,521.4091705999999,C5,1.0
10,404.780965,G#4,9.0
11,338.532733,E4,5.0
12,234.6807676,A#3,11.0
13,179.895251,F#3,7.0
14,420.85189840000004,G#4,9.0
15,248.05794283333333,B3,12.0
16,186.19211420000002,F#3,7.0
17,0.0,0,0.0
18,355.0295968333333,F4,6.0
19,199.66578959999998,G3,8.0
20,637.3641078333334,D#5,4.0
21,0.0,0,0.0
22,0.0,0,0.0
23,336.98379,E4,5.0
24,484.87467019999997,B4,12.0
25,0.0,0,0.0
26,362.02750149999997,F#4,7.0
27,303.092676,D#4,4.0
28,284.75157183333334,C#4,2.0
29,100.7539246,G2,8.0
30,0.0,0,0.0
31,253.65141533333335,B3,12.0
32,372.54805880000004,F#4,7.0
33,139.28314716666668,C#3,2.0
34,0.0,0,0.0
35,66.3000428,C2,1.0
36,236.29704800000002,A#3,11.0
37,435.5635194,A4,10.0
38,236.00734860000003,A#3,11.0
39,331.0375491666667,E4,5.0
40,413.7180114000001,G#4,9.0
41,344.25101466666666,F4,6.0
42,205.85294199999998,G#3,9.0
43,165.8598816,E3,5.0
44,390.92170216666665,G4,8.0
45,268.42121579999997,C4,1.0
46,141.98078666666666,C#3,2.0
47,119.76177360000001,A#2,11.0
48,0.0,0,0.0
49,104.08546966666667,G#2,9.0
50,282.2121276,C#4,2.0
51,0.0,0,0.0
52,215.40543616666665,A3,10.0
53,430.5794922,A4,10.0
54,272.19217449999996,C#4,2.0
55,195.2507996,G3,8.0
56,0.0,0,0.0
57,0.0,0,0.0
58,0.0,0,0.0
59,248.8533448,B3,12.0
60,261.21530666666666,C4,1.0
61,311.994037,D#4,4.0
62,248.1983948333333,B3,12.0
63,70.9476928,C#2,2.0
64,297.7725708,D4,3.0
65,754.319931,F#5,7.0
66,188.9141176,F#3,7.0
67,269.1183675,C4,1.0
68,156.05140999999998,D#3,4.0
69,172.0681702,F3,6.0
70,306.94246933333335,D#4,4.0
71,264.5700256,C4,1.0
72,181.6599974,F#3,7.0
73,302.236646,D4,3.0
74,328.2520386,E4,5.0
75,764.7869873333333,G5,8.0
76,54.2757324,A1,10.0
77,307.8591432,D#4,4.0
78,183.66840366666665,F#3,7.0
79,139.1277986,C#3,2.0
80,107.97671516666666,A2,10.0
81,346.5400574,F4,6.0
82,411.0464478,G#4,9.0
83,165.06767783333336,E3,5.0
84,266.40500480000003,C4,1.0
85,128.5227142,C3,1.0
86,241.63138833333332,B3,12.0
87,260.3932922,C4,1.0
88,0.0,0,0.0
89,0.0,0,0.0
90,354.818451,F4,6.0
91,267.0617726666667,C4,1.0
92,234.6849732,A#3,11.0
93,175.05900333333332,F3,6.0
94,141.999362,C#3,2.0
95,145.3414002,D3,3.0
96,323.62929266666663,E4,5.0
97,329.1778076,E4,5.0
98,171.26264039999998,F3,6.0
99,442.84772733333335,A4,10.0
100,361.56486499999994,F#4,7.0
101,250.75507866666666,B3,12.0
102,96.4950576,G2,8.0
103,200.3262666,G3,8.0
104,329.34683233333334,E4,5.0
105,213.17229000000003,G#3,9.0
106,0.0,0,0.0
107,81.54161060000001,E2,5.0
108,214.0404054,A3,10.0
109,336.9008128333333,E4,5.0
110,65.5654846,C2,1.0
111,0.0,0,0.0
112,279.59238683333336,C#4,2.0
113,328.52199099999996,E4,5.0
114,259.02533983333336,C4,1.0
115,0.0,0,0.0
116,174.4056824,F3,6.0
117,241.5962015,B3,12.0
118,334.10023179999996,E4,5.0
119,265.628955,C4,1.0
120,137.38540650000002,C#3,2.0
121,368.4620972,F#4,7.0
122,355.08557616666667,F4,6.0
123,133.0460326,C3,1.0
124,0.0,0,0.0
125,306.0145975,D#4,4.0
126,384.4375916,G4,8.0
127,440.08407100000005,A4,10.0
128,247.13782340000003,B3,12.0
129,248.73237319999998,B3,12.0
130,0.0,0,0.0
131,0.0,0,0.0
132,99.2969636,G2,8.0
133,171.27150233333336,F3,6.0
134,181.0805116,F#3,7.0
135,286.87592566666666,D4,3.0
136,371.4692382,F#4,7.0
137,370.9958436,F#4,7.0
138,330.33421599999997,E4,5.0
139,327.348761,E4,5.0
140,329.20095833333335,E4,5.0
141,327.85766,E4,5.0
142,65.49536739999999,C2,1.0
143,0.0,0,0.0
