second,pitch,note,scale
0,38.77752566666667,D#1,4.0
1,117.89904779999999,A#2,11.0
2,202.425623,G#3,9.0
3,83.2225958,E2,5.0
4,17.437058999999998,C#0,2.0
5,57.824541,A#1,11.0
6,345.5334532,F4,6.0
7,135.96292100000002,C#3,2.0
8,266.92855840000004,C4,1.0
9,52.723999000000006,G#1,9.0
10,206.14030966666667,G#3,9.0
11,115.5331848,A#2,11.0
12,309.1227112,D#4,4.0
13,146.229009,D3,3.0
14,245.8019714,B3,12.0
15,180.08967600000003,F#3,7.0
16,363.52471319999995,F#4,7.0
17,345.233191,F4,6.0
18,309.07872533333335,D#4,4.0
19,278.4682984,C#4,2.0
20,241.40037016666668,B3,12.0
21,285.9241943999999,D4,3.0
22,233.76895159999998,A#3,11.0
23,138.97117616666668,C#3,2.0
24,102.51994320000001,G#2,9.0
25,105.6471946,G#2,9.0
26,147.49385966666668,D3,3.0
27,280.2326538,C#4,2.0
28,160.629959,E3,5.0
29,281.7289856,C#4,2.0
30,204.83700860000005,G#3,9.0
31,302.0057983333334,D4,3.0
32,236.48733520000002,A#3,11.0
33,300.59217816666666,D4,3.0
34,314.60638439999997,D#4,4.0
35,368.94837019999994,F#4,7.0
36,248.30850966666662,B3,12.0
37,375.0717348,F#4,7.0
38,356.62666019999995,F4,6.0
39,197.83471183333336,G3,8.0
40,232.280548,A#3,11.0
41,240.15075166666668,B3,12.0
42,262.1886352,C4,1.0
43,121.8956542,B2,12.0
44,157.66483833333334,D#3,4.0
45,313.86221919999997,D#4,4.0
46,363.286967,F#4,7.0
47,180.472583,F#3,7.0
48,366.7981444,F#4,7.0
49,218.38588449999997,A3,10.0
50,374.31314679999997,F#4,7.0
51,209.3528808,G#3,9.0
52,350.9336343333334,F4,6.0
53,298.0741824,D4,3.0
54,323.1618193333333,E4,5.0
55,350.387677,F4,6.0
56,166.00220960000001,E3,5.0
57,364.8798421666666,F#4,7.0
58,245.63616940000003,B3,12.0
59,366.13422860000003,F#4,7.0
60,272.8288523333333,C#4,2.0
61,310.17146,D#4,4.0
62,214.77498383333332,A3,10.0
63,356.353845,F4,6.0
64,357.4373718,F4,6.0
65,374.94868450000007,F#4,7.0
66,406.90688480000006,G#4,9.0
67,249.05582166666667,B3,12.0
68,393.598877,G4,8.0
69,371.8678528,F#4,7.0
70,327.11742150000003,E4,5.0
71,201.37231119999998,G3,8.0
72,168.812793,E3,5.0
73,223.7312228333333,A3,10.0
74,380.527223,F#4,7.0
75,175.308407,F3,6.0
76,292.0216368,D4,3.0
77,52.4164978,G#1,9.0
78,242.56267283333332,B3,12.0
79,50.708837800000005,G#1,9.0
80,241.96260583333333,B3,12.0
81,105.0074646,G#2,9.0
82,219.3713256,A3,10.0
83,59.04311116666667,A#1,11.0
84,291.62465800000007,D4,3.0
85,193.095215,G3,8.0
86,183.80461633333334,F#3,7.0
87,252.3061766,B3,12.0
88,205.9144236666667,G#3,9.0
89,196.9755554,G3,8.0
90,131.82140199999998,C3,1.0
91,183.55396533333337,F#3,7.0
92,286.9280334,D4,3.0
93,249.90743516666666,B3,12.0
94,109.8915894,A2,10.0
95,246.33220220000004,B3,12.0
96,115.80229200000001,A#2,11.0
97,343.55004879999996,F4,6.0
98,336.93286120000005,E4,5.0
99,308.38346333333334,D#4,4.0
100,383.22901,G4,8.0
101,343.6218873333333,F4,6.0
102,347.58244620000005,F4,6.0
103,0.0,0,0.0
104,0.0,0,0.0
105,160.22848520000002,E3,5.0
106,129.10284933333335,C3,1.0
107,110.35773319999998,A2,10.0
108,208.7482852,G#3,9.0
109,147.46155283333334,D3,3.0
110,176.59650879999998,F3,6.0
