second,pitch,note,scale
0,149.18483466666666,D3,3.0
1,113.48872980000002,A#2,11.0
2,104.06000516666667,G#2,9.0
3,237.0930938,A#3,11.0
4,82.4931458,E2,5.0
5,191.96579366666666,G3,8.0
6,0.0,0,0.0
7,0.0,0,0.0
8,122.4714234,B2,12.0
9,221.3847108,A3,10.0
10,299.36453500000005,D4,3.0
11,197.38250119999998,G3,8.0
12,133.5103272,C3,1.0
13,301.58242283333334,D4,3.0
14,168.58207699999997,E3,5.0
15,34.72457633333334,C#1,2.0
16,87.0390534,F2,6.0
17,227.06189559999999,A#3,11.0
18,245.99816383333334,B3,12.0
19,353.6071412,F4,6.0
20,231.52327483333337,A#3,11.0
21,318.11937279999995,D#4,4.0
22,103.97807320000001,G#2,9.0
23,108.63981116666666,A2,10.0
24,43.7248108,F1,6.0
25,57.040454,A#1,11.0
26,264.235593,C4,1.0
27,53.910140999999996,A1,10.0
28,201.4215366666667,G3,8.0
29,367.6621524,F#4,7.0
30,170.4830414,F3,6.0
31,223.2781145,A3,10.0
32,247.2697266,B3,12.0
33,153.6334355,D#3,4.0
34,191.9224398,G3,8.0
35,125.84954520000001,B2,12.0
36,196.4531835,G3,8.0
37,107.55629280000001,A2,10.0
38,145.34658199999998,D3,3.0
39,236.81335050000004,A#3,11.0
40,193.810196,G3,8.0
41,94.68786633333332,F#2,7.0
42,156.343921,D#3,4.0
43,277.14690540000004,C#4,2.0
44,172.37873083333332,F3,6.0
45,354.9648866,F4,6.0
46,55.07010400000001,A1,10.0
47,0.0,0,0.0
48,0.0,0,0.0
49,0.0,0,0.0
50,76.3218444,D#2,4.0
51,275.55311900000004,C#4,2.0
52,200.822632,G3,8.0
53,88.05862420000001,F2,6.0
54,141.09744266666667,C#3,2.0
55,28.476547200000006,A#0,11.0
56,173.94110740000002,F3,6.0
57,158.13881433333336,D#3,4.0
58,0.0,0,0.0
59,103.62006219999998,G#2,9.0
60,199.68932083333334,G3,8.0
61,493.44047219999993,B4,12.0
62,369.64076499999993,F#4,7.0
63,233.3640962,A#3,11.0
64,304.1422056,D#4,4.0
65,401.2736956666666,G4,8.0
66,394.8324526,G4,8.0
67,246.38179000000002,B3,12.0
68,267.416992,C4,1.0
69,200.994748,G3,8.0
70,176.56547549999996,F3,6.0
71,256.62953500000003,C4,1.0
72,194.92845620000003,G3,8.0
73,298.305542,D4,3.0
74,384.7499024,G4,8.0
75,150.1714375,D3,3.0
76,143.2178588,D3,3.0
77,191.5461546,G3,8.0
78,318.8097863333333,D#4,4.0
79,236.2522308,A#3,11.0
80,280.394338,C#4,2.0
81,297.88008419999994,D4,3.0
82,322.7860337999999,E4,5.0
83,334.3070883333333,E4,5.0
84,322.87223520000003,E4,5.0
85,300.08723139999995,D4,3.0
86,304.78526800000003,D#4,4.0
87,263.1108186,C4,1.0
88,0.0,0,0.0
89,223.5894836,A3,10.0
90,299.7481994,D4,3.0
91,126.01413216666667,B2,12.0
92,59.0773498,A#1,11.0
93,186.5706531666667,F#3,7.0
94,155.2135284,D#3,4.0
95,197.2911498,G3,8.0
96,192.95756516666665,G3,8.0
97,357.3824646,F4,6.0
98,448.80135499999994,A4,10.0
99,449.05483,A4,10.0
100,447.4534118,A4,10.0
101,442.449458,A4,10.0
102,0.0,0,0.0
103,80.1401094,E2,5.0
104,163.76760866666666,E3,5.0
105,117.6485872,A#2,11.0
106,149.92029833333333,D3,3.0
107,0.0,0,0.0
108,39.9073486,D#1,4.0
109,877.2122089999999,A5,10.0
110,213.58740239999997,G#3,9.0
111,48.439672800000004,G1,8.0
112,119.28837083333333,A#2,11.0
113,254.6757294,C4,1.0
114,1904.4869026666665,A#6,11.0
115,1096.6350096,C#6,2.0
116,384.4175202,G4,8.0
117,160.63371283333333,E3,5.0
118,144.35396740000002,D3,3.0
119,367.6839354,F#4,7.0
120,499.1505633333333,B4,12.0
121,593.2896972000001,D5,3.0
122,684.7733563333333,F5,6.0
123,782.9109620000002,G5,8.0
124,792.8341796,G5,8.0
125,796.844635,G5,8.0
126,795.5666748,G5,8.0
127,555.5811360000001,C#5,2.0
128,241.68071879999997,B3,12.0
129,332.8111512,E4,5.0
130,317.11376433333334,D#4,4.0
131,142.86237179999998,D3,3.0
132,231.25781859999998,A#3,11.0
133,266.85135383333335,C4,1.0
134,282.57352899999995,C#4,2.0
135,266.9587453333333,C4,1.0
136,228.56284180000003,A#3,11.0
137,322.68206339999995,E4,5.0
138,223.829885,A3,10.0
139,265.14932860000005,C4,1.0
140,344.0204748333333,F4,6.0
141,171.04540839999999,F3,6.0
142,281.2528138,C#4,2.0
143,261.79776250000003,C4,1.0
144,383.994873,G4,8.0
145,234.03574840000002,A#3,11.0
146,392.2085978333334,G4,8.0
147,223.829376,A3,10.0
148,381.4739073333333,G4,8.0
149,383.0061036,G4,8.0
150,382.58601080000005,G4,8.0
151,346.1393103333333,F4,6.0
152,111.9987944,A2,10.0
153,130.1992365,C3,1.0
154,217.39989899999995,A3,10.0
155,237.53463419999997,A#3,11.0
156,230.736033,A#3,11.0
157,227.6917602,A#3,11.0
158,307.903418,D#4,4.0
159,238.15924066666665,A#3,11.0
160,184.7880982,F#3,7.0
161,288.0098776666667,D4,3.0
162,260.4719666,C4,1.0
163,341.0741396,F4,6.0
164,242.46008816666668,B3,12.0
165,290.5496642,D4,3.0
166,308.49900833333334,D#4,4.0
167,227.4425354,A#3,11.0
168,239.8093626,A#3,11.0
169,234.124115,A#3,11.0
170,184.00964960000002,F#3,7.0
171,207.6974182,G#3,9.0
172,294.3983408333334,D4,3.0
173,55.6580872,A1,10.0
174,98.50042216666667,G2,8.0
175,179.1208924,F3,6.0
176,116.8848816,A#2,11.0
177,125.9422785,B2,12.0
178,170.84135139999998,F3,6.0
179,0.0,0,0.0
180,0.0,0,0.0
181,0.0,0,0.0
182,112.99855033333334,A2,10.0
183,19.501043799999998,D#0,4.0
184,0.0,0,0.0
185,86.69626866666668,F2,6.0
186,279.9838316,C#4,2.0
187,218.74302683333335,A3,10.0
188,192.75718999999998,G3,8.0
189,1217.6153868000001,D#6,4.0
190,162.12386066666667,E3,5.0
191,0.0,0,0.0
192,0.0,0,0.0
193,55.473902333333335,A1,10.0
194,261.2369138,C4,1.0
195,0.0,0,0.0
196,0.0,0,0.0
197,0.0,0,0.0
198,162.12832133333333,E3,5.0
199,0.0,0,0.0
