second,pitch,note,scale
0,146.82928983333332,D3,3.0
1,379.642865,F#4,7.0
2,270.1387888333333,C#4,2.0
3,602.9657898,D5,3.0
4,507.1597290000001,B4,12.0
5,798.2308401666666,G5,8.0
6,339.01291499999996,E4,5.0
7,197.10448449999998,G3,8.0
8,202.6107542,G#3,9.0
9,175.014215,F3,6.0
10,213.07377883333334,G#3,9.0
11,107.70402220000001,A2,10.0
12,155.9596802,D#3,4.0
13,157.32212066666668,D#3,4.0
14,121.89970100000001,B2,12.0
15,128.38445533333334,C3,1.0
16,0.0,0,0.0
17,0.0,0,0.0
18,284.97627016666667,C#4,2.0
19,234.2862214,A#3,11.0
20,250.01350416666665,B3,12.0
21,32.0542878,C1,1.0
22,17.5478318,C#0,2.0
23,0.0,0,0.0
24,188.7358092,F#3,7.0
25,259.47970580000003,C4,1.0
26,159.7393035,D#3,4.0
27,189.7299928,F#3,7.0
28,373.85917149999995,F#4,7.0
29,215.57459120000004,A3,10.0
30,196.2179564,G3,8.0
31,137.37138633333333,C#3,2.0
32,1978.6103576,B6,12.0
33,242.5299176666667,B3,12.0
34,208.57598280000002,G#3,9.0
35,69.59010620000001,C#2,2.0
36,343.33626050000004,F4,6.0
37,129.0275574,C3,1.0
38,238.79716799999997,A#3,11.0
39,53.558807333333334,A1,10.0
40,93.1595642,F#2,7.0
41,119.12374616666666,A#2,11.0
42,258.234906,C4,1.0
43,326.8007874,E4,5.0
44,144.2724915,D3,3.0
45,0.0,0,0.0
46,0.0,0,0.0
47,84.0272706,E2,5.0
48,316.6395326,D#4,4.0
49,214.4230295,A3,10.0
50,198.959668,G3,8.0
51,67.5088134,C#2,2.0
52,269.3545176666667,C#4,2.0
53,446.47265619999996,A4,10.0
54,109.213211,A2,10.0
55,128.0359862,C3,1.0
56,287.52562259999996,D4,3.0
57,173.2862726666667,F3,6.0
58,151.8230774,D#3,4.0
59,152.9051696,D#3,4.0
60,349.1443076666667,F4,6.0
61,178.5351988,F3,6.0
62,252.95259083333335,B3,12.0
63,46.0953826,F#1,7.0
64,141.1385254,C#3,2.0
65,176.39794916666668,F3,6.0
66,72.0071106,D2,3.0
67,198.336731,G3,8.0
68,194.1049438,G3,8.0
69,0.0,0,0.0
70,69.51606500000001,C#2,2.0
71,76.350122,D#2,4.0
72,242.47843000000003,B3,12.0
73,298.138916,D4,3.0
74,158.6875732,D#3,4.0
75,0.0,0,0.0
76,162.580905,E3,5.0
77,188.6579468,F#3,7.0
78,278.1238251666667,C#4,2.0
79,172.6590272,F3,6.0
80,79.68974816666666,D#2,4.0
81,0.0,0,0.0
82,279.6011718,C#4,2.0
83,0.0,0,0.0
84,0.0,0,0.0
85,0.0,0,0.0
86,0.0,0,0.0
87,0.0,0,0.0
